[0, 0, 0, 0]
[150, 13, 10, 660]
[150, 11, 9, 659]
[151, 14, 11, 661]
[151, 14, 11, 661]
[152, 13, 10, 661]
[152, 15, 11, 661]
[147, 11, 8, 658]
[153, 15, 12, 662]
[151, 14, 12, 661]
[152, 14, 11, 661]
[149, 12, 9, 659]
[149, 13, 11, 659]
[152, 14, 12, 661]
[152, 14, 12, 661]
[153, 14, 12, 661]
[11, 49, 12, 655]
[10, 47, 10, 654]
[9, 46, 9, 653]
[12, 50, 14, 656]
[11, 48, 11, 654]
[12, 48, 11, 655]
[11, 45, 12, 654]
[7, 44, 9, 651]
[12, 49, 13, 655]
[11, 47, 11, 654]
[9, 47, 10, 653]
[13, 49, 12, 655]
[10, 48, 12, 654]
[11, 48, 10, 654]
[11, 47, 11, 654]
[18, 28, 36, 655]
[19, 27, 36, 655]
[20, 30, 37, 656]
[16, 27, 36, 653]
[17, 27, 36, 654]
[21, 29, 37, 656]
[20, 30, 39, 656]
[16, 27, 37, 654]
[17, 29, 38, 655]
[17, 28, 38, 654]
[17, 28, 37, 654]
[19, 29, 38, 655]
[20, 31, 39, 656]
[18, 29, 38, 654]
[21, 30, 40, 656]
[21, 31, 39, 656]
[20, 30, 38, 655]
